tweetId;tweetText;tweetDate;sentimentLabel
1;is so sad for my apl friend ;04/03/2015;0
2;i miss the new moon trail ;06/10/2015;0
3;omg it already 730 o ;03/04/2015;1
4; omgag im sooo im gunn cry i've been at thi dent sint 11 i was supos 2 just get a crown put on 30mins ;13/11/2015;0
5;i think mi bf is che on me tt ;10/08/2015;0
6;or i just worry too much ;25/02/2015;0
7;juuuuuuuuuuuuuuuuussssst chillin ;29/09/2015;1
8;sunny again work tomorrow | tv tonight ;21/08/2015;0
9;hand in my uniform today  i miss you already ;10/11/2015;1
10;hmmmm i wond how she my numb @ ;20/07/2015;1
11;i must think about posit ;16/09/2015;0
12;thank to al the hat up in my fac al day 112102 ;22/05/2015;1
13;thi weekend has suck so far ;25/09/2015;0
14;jb isnt show in austral any mor ;18/06/2015;0
15;ok that it you win ;08/02/2015;0
16;thi is the way i feel right now ;16/09/2015;0
17;awhh man i'm complet useless rt now funny al i can do is twit httpmylocme27hx ;05/05/2015;0
18;feel strangely fin now i'm gonn go list to som semison to celebr ;17/11/2015;1
19;hug rol of thund just nowso scary ;28/01/2015;0
20;i just cut my beard off it's on been grow for wel ov a year i'm gonn start it ov @shaunamanu is happy in the meantim ;26/09/2015;0
21;very sad about ir ;24/11/2015;0
22;womppp womp ;19/01/2015;0
23;you're the on on who can see thi caus no on els is follow me thi is for you becaus you're pretty awesom ;19/02/2015;1
24;level is 3 i was writ a mass blog tweet on myspac and my comp shut down now it's al lost lay in fet posit ;05/09/2015;0
25; head to hospitol  had to pul out of the golf tourny in 3rd plac i think i rerip someth  yeah that  ;02/04/2015;0
26;bor  what wrong with him pleas tel me  ;03/07/2015;0
27;can't be both i wish i could spend the rest of my lif just sat her and going to gig sery ;20/10/2015;0
28;feeel lik shit right now i real want to sleep but nooo i hav 3 hour of dant and an art assign to fin ;12/05/2015;0
29;goodby exam hello alcohol tonight ;13/05/2015;1
30;i didn't real it was that deep geez giv a girl a warn atleast ;07/06/2015;0
31;i hat it when any athlet appear to tear an ac on liv televid ;07/09/2015;0
32;i miss you guy too i think i'm wear skinny jean a cut swe and heel not real sur what ar you doing today ;08/06/2015;0
33; meet yo meat httpbitly15ssci ;18/08/2015;0
34;my horsy is mov on saturday morn ;05/06/2015;0
35;no sat offnee to work 6 day a week ;02/01/2015;0
36;real dont lik doing my room it so bor sick of doing my wardrob out cant waiit til i hav my walk in on yay ;06/01/2015;0
37;sox floyd was gre but reliev nee a scold ;11/05/2015;0
38;tim by lik a mil ;22/01/2015;0
39;upload pict on friendst ;19/03/2015;1
40;what typ of a spaz download a vir my broth that's who \ msn is now fuck forev ' ;25/08/2015;0
41;wiit the bab ;18/09/2015;0
42;   so i wrot someth last week and i got a cal from someon in the new york off httptumblrcomxcn21w6o7 ;25/05/2015;1
43;enough said ;28/02/2015;0
44; do i nee to ev say it do i wel her i go anyway chris cornel in chicago  tonight ;18/10/2015;1
45; heal class what a jok ;09/07/2015;1
46;@ginaaa go to the show tonight ;10/03/2015;1
47;@spiralgalaxy @ymptweet it real mak me sad when i look at muslim real now ;23/07/2015;0
48; al tim low shal be my mot for the rest of the week ;16/11/2015;0
49;and the entertain is ov someon complain prop @rupturerapture expery you say he should expery with a melody ;15/05/2015;0
50;anoth year of lak  that's neith mag nor fun  ;18/04/2015;0
51;baddest day ev ;05/01/2015;0
52;bathroom is cle now on to mor enjoy task ;05/11/2015;1
53;boom boom pow ;29/09/2015;1
54;but i'm proud ;11/07/2015;0
55;congr to helio though ;30/07/2015;0
56;david must be hospit for fiv day end of july palatin tonsil i wil prob nev see katy in concert ;05/07/2015;0
57;friend ar leav me 'cause of thi stupid lov httpbitlyzoxzc ;11/07/2015;0
58;go giv ur mom a hug right now httpbitlyazfwv ;23/09/2015;1
59;going to see harry sunday happy ;02/07/2015;1
60;hand quilt it is then ;21/02/2015;0
61;hat u  leysh t9ar5    ;07/09/2015;0
62; i alway get what i want ;17/09/2015;1
63;i bend backward ;22/10/2015;1
64;i get off work sooooon i miss cody booo haven't seen him in forever ;27/08/2015;1
65;i hat allergy should i get my hair cut tomorrow i'm tak a publ pol ;26/05/2015;1
66; i lov you guy so much that it hurt httptumblrcomxkh1z19us ;10/08/2015;0
67;i miss earl ;07/05/2015;0
68;i miss new jersey ;25/06/2015;0
69;i miss the first hour of sytycd last night and i can't find it onlin ;14/11/2015;0
70;i nee a u2 fix now ;10/10/2015;0
71;i nev thought i'd becom second cho ;23/02/2015;0
72;i think i may be too friendlylol o wel ;12/08/2015;0
73;i think manuel my basil plant on has day to liv ;18/10/2015;0
74;i wann be at hom @ church wond wht they ar doing ;27/07/2015;0
75;i wann mak my own pizz ;17/03/2015;0
76;i want a 120gb harddr or a 37 inch tv or a new guit anyonefeel gen p x ;03/08/2015;0
77;i want a hug ;16/01/2015;0
78;i want miley to tour austral ;09/09/2015;0
79;i want to sleep in thi morn but a mean kid through a popsic stick at me head i wish i could fly away lik thos squirrel ;27/07/2015;0
80;i was too slow to get $1 up tix ;11/09/2015;0
81;i wil send sunshin to northern ireland ar you going swim today @kezbat ;18/01/2015;0
82;i wish i could go to t4 on the beach ' would be gre to see @shontellelayne @danmerriweather ;16/11/2015;0
83;i would be so much happy if the wal of my bedroom wer paint whit ;29/04/2015;0
84;idk wat 2 do who can i trust me im sorry 4 al da pain i hav caus nebody im tak dis tim out 2 straighten myself out i luv yal ;03/05/2015;0
85;i'm find the interceiv slopeand bang my head against the wallma brain head com sav me ;27/07/2015;0
86;i'm real going to bed now ;01/04/2015;1
87;im sick 'cough cough' ;31/05/2015;0
88;in cab head to the airport going hom ;22/08/2015;0
89;in cas i feel emo in camp feel a wee bit of it alram bring in the hum right watch world report 2009hope it'll work ;17/04/2015;0
90;jin has a twit ;09/03/2015;1
91;jona day is almost ov ;23/11/2015;0
92;jus got hom fr tda fun i'm so sad i cri so much tim much lov i nev got to say my last to him ;05/05/2015;0
93;just gonn smilecuz it is what it isand im not sur what mor they could want ;06/01/2015;1
94;just got hom and i got to see my friend zahr whom i haven't seen sint we gradu that mak me so happy ;18/08/2015;1
95; longest night ev ugh httptumblrcomxwp1yxhi6 ;30/03/2015;0
96;mi momacit won't let me go to my bf's bbal gam grrr ;18/07/2015;0
97;mom say i hav to get a new phon immediatelyoff to tmobl she pay ;29/05/2015;0
98;my new car was stolenby my moth who want to go pos at church ;02/01/2015;0
99;no hang out with the girl 2day 2moro hop so ;16/05/2015;0
100;no movy tim for sunday rat wil hav to plan tomorrow i guess thi mean i hav to work on thos two pres i am doing ;15/09/2015;0
101;no pavel tonight ;03/10/2015;0
102;not a cool night ;25/01/2015;0
103;oh thank you ;25/09/2015;1
104;pleas ;11/09/2015;1
105;prob gun get off soon sint no on is talkin no mor ;14/07/2015;0
106;real want safin to pul out a win to los lik that ;10/04/2015;0
107;rip david ed ;04/07/2015;0
108;ros and ood wil be back in the xma who spec yay damn that's half a year away ;19/10/2015;1
109; sannesia aww no neighb we nee to watch mean girl  httptumblrcomxv31s2pi8 ;11/11/2015;0
110;so what the stat on next weekend ;09/02/2015;0
111;sorry @gigi4462 the ex husband has overdos on his dai dos of haterad ;23/03/2015;0
112;thank for yo definit of throwbie edit review yo entry and hav decid to not publ it ;24/07/2015;0
113;thank i nee al the help i can get ;11/09/2015;1
114; that explain alot ;22/11/2015;1
115;there's going to be a heath sequel winona4ever they bet not fuck it up ;18/11/2015;1
116;told not to drink wmy rx so just gav al the bb port ob stout that i brought hom from or to my neighb v v sad ;27/09/2015;0
117;tra is so sweet he just bought me a new baith suit wov him ;20/02/2015;1
118;tru high subject of me ther tombr was act my favorit charact in the book you got me  httpisgd13be0  rishabh ;10/07/2015;1
119;u guy knw whyy ;14/11/2015;0
120;very much so ;06/07/2015;0
121;waahhh now i'm get sadmiss hub ;24/02/2015;0
122; we wer stand out in the pour rain we wer sit on top of the world  sum suck  ;06/02/2015;0
123;went to get dog from vet theyv stitch her ear charg us for it but she stil blee lik a waterfal everytim she mov d why ;14/01/2015;0
124;wher is my pict i feel nak ;10/08/2015;0
125;why aren't ther any train going to manchest on a sunday now i can't go to the @jonasbrothers concert ;04/09/2015;0
127;why twit wil soon becom obsolet httpwwwimediaconnectioncomcontent23465asp ;26/09/2015;0
128;wid awak not ;27/05/2015;1
129;yeah me too it been aw weath her for the last week so that stink krist comin down and moe said mmmaybe he tak us for  ;18/02/2015;1
130; you hi stranger hello i am frank lampard how ar you you fin you and urself stranger i am gay yo httptumblrcomxaj24dkly ;17/11/2015;0
131;you'll alway be my on and on 12232007 ;31/01/2015;0
132;#3turnoffwords thi shit suck ;06/01/2015;0
133;#asylm j2 panel is ov guess it's back to norm lif ;05/03/2015;0
134;#poemsunder140 start by @shannonelyse1 ;26/04/2015;1
135;#squarespace bright my bad day i nev win anyth ;25/05/2015;0
136;#susan boyl didnt win mh wel divers was very good though congratz ;25/10/2015;0
137;#twenty20 ;16/06/2015;0
138;that is al and believ me it's enough ;15/07/2015;1
139;goooood timessss ;23/06/2015;1
140;gradu ;20/09/2015;0
141;vand paint swastika on hom of auth of gay lesb church story  napl dai  httpbitly11zyzl  ;06/04/2015;0
142;unknown er occ uh oh iphon os 3 fail so far ;23/02/2015;0
143;hom predict eagl to go 124 and giant to go 97 bs httpwwwdailysportspagescomforumsshowthreadphpt49343 ;14/11/2015;0
144;know you hungry so let go outsid on the balcony so you can ;20/07/2015;1
145;want you so bad it's driv me ;08/02/2015;0
146;10 men a uk fem internet entrepr should know when start and grow a busy  the next  httptinyurlcom  ;15/08/2015;1
148;to turn on my tv to get you out of my head i've got thi feel insid that i just won't that is lit how i feel ;29/08/2015;0
149;the tru is i miss you coldplay ;14/10/2015;0
150;tear ' today is the last day with my kidsthey go on sum break at their dad tomorrow sigh httpplurkcompx8j86 ;15/05/2015;0
151;uns annoy httpplurkcomp1230lz ;25/02/2015;0
152;via @designrelated ar design gallery exhibit postcardsmail going extinct via nyt httpowlyfhjc ;03/10/2015;0
153;beautifulylost ;01/01/2015;0
154; cri i'm going to miss harry pot when it com out i'm leav to vietnam on july 11th i'm going to cry ;26/01/2015;0
155; hummin i say up put yo money wher yo mou headin' out to real che twit world ;29/08/2015;1
156;  sigh you cant lov someon that doesn't lov you back that's lik stalk stat  get a divorc mov on  trin ;04/08/2015;1
157;    going back to bed becaus i'm lookin' around and don't see a reason to be awak atm be up in a littl ;07/10/2015;0
158;  aiqht goodniqht  tri neen malcolm cha  jlew atl lov much  ;06/06/2015;1
159;  triiiiii  ily  ev if cha doesn't  d die of laught ;23/10/2015;1
160; i want hiim soo bad  ;14/09/2015;0
161; watch tv  bed shop w mom out w trent hop i nee my best friend ;04/05/2015;0
162; had weird encount with so many homelesscreep on the walk hom tonight al by myself awesom real ;20/06/2015;0
163; rain out truck rac ;24/11/2015;0
164; why am i feel wors f ;26/03/2015;0
165; feel pain and happy at the sam tim how confus ;15/07/2015;0
166; hot choco is the best ;07/10/2015;1
167;in a shirt and panty celulit ;28/04/2015;0
168;had to turn back to nor due to body on lin so miss design council design 4 tech transf ev httpbitlypxrzv ;02/06/2015;0
169;y everyth is so hard  ;04/09/2015;0
170;bueno good bye good night ;07/02/2015;0
171; beach day with scoob   stil no phon ;06/07/2015;1
172; let's hav fun when i giv ya what i giv ya ;20/06/2015;0
173; i don't want to mov ;16/10/2015;0
174;d what an amaz nightday night again hi twit i miss u guy ;20/05/2015;1
175;@ canav nat seash ;24/03/2015;1
176;@ progress in the produc depart with that the pri get the head nod beat and then we reach out ;20/05/2015;1
177;@ taylorrhick enjoy chicagob new venu is alway cool you shin everywh you go i know who you ar in tim so wil everyon ;26/04/2015;1
178;@ the train crash in dc  ;07/05/2015;0
179;' @ thestreetforc ' ;19/02/2015;1
180;@3sixty5days mak me smil ;07/09/2015;1
181;@adamisacson my first day off in 3 week and my child got up bef 700 so watch for me on grac httptrimkhkw ;22/03/2015;1
183;@alexrauchman i am happy you ar stay around her drexel is a fab univers you should be proud yeah ;09/10/2015;1
184;@alvinkschneider what hap to angel and demon and lion and tig and bear ;18/07/2015;0
185;@americanwomannn wel that sur minim the impactlol ;26/02/2015;0
186;@angeblack @sween i cal dib on the voltron arm no the leg wait wher ar my man @baileygenine httptrimoery ;05/10/2015;1
187;@charlottegc i just saw ur mum ;31/07/2015;1
188;@chloelunn and @meganmcdowell get yo fat ass on her nai ;20/11/2015;1
189; @codinghorror see three extern monit on on laptop httpwwwtwitpiccom6e3zp win7rc 1 x 1920x1080 2 x 1280x1024 ;22/04/2015;1
190;facebookcomcopicmark if you're cool or if you're not cool mayb i'll send som cool  httptrimoyt7 ;29/04/2015;1
191;' @crewislife you want to start the morn lat in new york we can do that californ hav it ev bet ;18/06/2015;1
192;@cybervenus httptwitpiccom75kwb  lol luv it httptwitpiccom75hsg did any1 find or c 1 #a httpbitlymumfh ;19/02/2015;1
193;@dandelionas is mak fettucin and garl bread ;02/02/2015;1
194;@danregal tel @pfont i said happy bday ;31/10/2015;1
195; @darcylussier @lkrammes i went to work ont last year with no pant iron that was my last day of work at that job fml ;24/05/2015;0
196;@dirtyrose17 told you you would sweep hah p ;22/10/2015;1
197;@dreamingspires ther r many gr8 sci cartoon httpbitly6ew4q httpbitlygxh3q httpbitly18sjxi httpbitlykeay2 ;24/05/2015;0
198; @em91 edinburgh fring is on 10 week away i nee mony btw i'm elliot from @angryfeet  blam @howliet for the twit intrud ;14/10/2015;0
199;@emilymariie why didnt you com to school hav you don the short stack thing by yourself or do you stil nee me ;25/01/2015;0
200; @evertb which on httpbitly10o8lw httpbitlynh82s or httpbitlywr8vz  lat for the us stor on #iphone #comics ;24/05/2015;0
201;@georgediaz #magic think less than 50  chant hedo stay in orlando he's gonn go for the $$ they al do can't blam him though ;05/08/2015;0
202;@glamicole now who wud mak thi beauty plc cry ;20/02/2015;0
203;@hatermagazine @damienrandle it is now the out fat kid ;23/09/2015;0
204; @haugern the serv ar now backup if you expery any mor problem then pleas let me know sorry about the delay ;16/01/2015;1
206;@hellopnsdear se morre a mi joseph no no se val ;09/03/2015;0
207;@hidingesther @linininiooh ar my fut rooooooooom nyc hol ;23/08/2015;1
208;@hijackking7 i hop u hav chees burg 4 @snubbmatic lmbo ;17/11/2015;1
209;@iamyas awesom ;05/02/2015;1
210;@ivegotzooms i am noth of the kind and everyth of the sort httptrimmlsn ;14/08/2015;1
211; @jerrybattiste up som flow for the i'm jeal i want flow without hav to be in the hospit to get them ;12/04/2015;1
213;@jonasbrothers why is yo youtub account suspend lol singl lady dant i nee to watch it again ;21/07/2015;0
214; @juicyjones i know sold out though ;14/10/2015;0
215; @kaitymarine  watch e3 @mcmudkips  wil do ;26/06/2015;1
216; @katherineholden thank k here's hop pretty nerv though ;21/07/2015;1
217;@katiedontcry should get on aim and talk to me i miss her ;29/05/2015;0
218;@kcome  1000 follow httptrimmwkn ;08/07/2015;1
219;@khead i'll tel ya grocery stor it was bet when you blast the oldy sug ray doe not mak me httptrimjd0y ;27/07/2015;1
220;@kvetchingeditor's kashrut convo mak me want to keep mor kosh but my room cathol he has a pork loin in the fridg #kosherfail ;15/10/2015;0
221;@leloz isn't hom neith is @sozi1  @althani96 u bet hav it ;11/02/2015;0
222;@lhsoperafiends yal bitch bet wak up ear to go to the la oper kay ;30/05/2015;1
223; @littlecharva  i'm immun to dentists' dril etc now it just doesn't both me at al hav gum lift surgery next week tho eek ;09/03/2015;0
224;@lolife4life wher r u tonit im stil awak ;17/07/2015;0
225;@lorinimus hat bebot ap ;28/07/2015;0
226;@dhempe congr bha but lik the oldy in us to say  ar bha kuch kam ka httptrimox5g ;07/06/2015;1
227;@melodychase ;01/09/2015;1
228;@mgph3nom chil on twit via my spank new blackberry w unlimit internet  httptrimmzvc ;22/10/2015;1
229;@michaelsarver so do you giv him every inch of yo lov every night ;14/04/2015;1
230;@mimbles @wparenthetical ;19/11/2015;1
231;' @minghao mayb you can pop @starhubcares a tweet they ar quit act on twit ;14/05/2015;1
232;@msnovember it's a sham al the wom in mamm mia ar so horny sint al the men on thi island ar so httptrimkmet ;29/05/2015;1
233; @nibaq thank for let me know i'm going to check out eurek lat with thi knowledg ;09/05/2015;1
234;@oneshine what ar u refer to ;24/04/2015;0
235;@plmusic22 ;03/05/2015;0
236; @poisongirl10 what's up @sevgli hey you @lowridergrl i'm doing ok thx you @cristinerafae you too ttyl @nic0pic0 oh sowwy lol ;04/09/2015;1
237;@rappublicist happy moth day ;18/03/2015;1
238; @raybooysen i knew sharepoint was writ by intern i just knew it  ;24/05/2015;1
239;i miss her so much already ;02/06/2015;0
240;just practisinghow i feel ;22/09/2015;0
241;miss my lov jamy ;08/09/2015;0
242;fuck you ;25/08/2015;0
243;my head feel lik a bowl bal ;22/09/2015;0
244;my heart hurt bad ;30/10/2015;0
245;fs keep crash when i try to load bungy plan ;12/05/2015;0
246;my cur headset is on it deathb now my dad gav it to me just 3 week back ;18/08/2015;0
247; my mood is cur blah  sit in a park lot ;02/07/2015;0
248;i am happy ;11/09/2015;1
249;that is al ;28/09/2015;0
250;everyon went hom and not everyon was ev her cmf ;22/06/2015;0
251;fed up ;16/06/2015;0
252;fuck fuck fuuuuck ;13/07/2015;0
253;not feel it today and to mak mat worst it sup nasty and rainy outsid yuck ;24/03/2015;0
254;@beansummer ;25/06/2015;0
255;awwwwwh i want aid dav 2 win i him so bum he didnt ;02/08/2015;0
256;bed tim now ;27/04/2015;0
257;faltam 4 dia par o world draw day ;03/08/2015;1
258;friend lik thes  no thank i'm not fak   ;25/04/2015;0
259;hah omg stayin steezy mowin the lawn loviy stil her goi tan soon ;24/10/2015;1
260;i think my bf is che on me ;02/09/2015;0
261;i wann play with my camer but i wil settl for play with iv's and heart monit ;09/07/2015;1
262;i want an octo driv ;15/01/2015;0
263;i want to display my pretty voltron upsid i get two pretty voltron ;07/06/2015;0
264;i want to find a way to put my photo on phon her i hav bluetoo in both phon and comput but it doesn't work ;24/07/2015;0
265;in an effort to bring you the best cont we just ad at leas 30 hour to the releas of the digit rapt soon hang tight ;21/02/2015;0
266; is our respons to what hap today and that is al ;18/11/2015;0
267;j you ar right it hurt ;13/01/2015;0
268;kind but not real but kind ;30/04/2015;0
269;let's hav a mom of sil for our child hom sad it can't be replac and we can nev go back ;04/08/2015;0
270;lol al thes #robotpickuplines ar hil ;20/06/2015;1
271;man oh man i should punch myself in the head but im ok with that ;16/06/2015;1
272;my friend can get with ur friend and we can al b friend shit we could do thi every weeknd aiigght with coop n the crew ;27/10/2015;1
273;no man is wor yo tear and the on that is won't mak you cry ;21/06/2015;0
274;rain rain go away ;19/08/2015;0
275;storm ar scary ;14/05/2015;0
276;such a beauty satisfy day of bargain shop lov it ;12/05/2015;1
277;tel thos girl yo clock out lol ;21/02/2015;0
278;thank god today is friday  i lov ti ti ;21/03/2015;1
279;the bat to my internet connect died guess it back to the mobl ;31/10/2015;0
280;thrilled about being at work thi morn ;27/01/2015;1
281;we break dant not heart by short stack is my rington i lov that song ;17/04/2015;1
282;wwwapplecomiphone now has it for the 18th ;22/08/2015;0
283;#squarespace #trackle no appl iphon card for us mayb tomorrow i guess it help if you tweet it huh we forgot ;29/03/2015;0
284;uns hassl  mus httpplurkcompyq08l ;08/01/2015;0
285;exhaust ;26/08/2015;0
286;i want som cak bat pleas ugh ;14/05/2015;0
287;my lif is very lazzzzyyyy  ;15/03/2015;1
288;wish ell was on or somebody ;13/01/2015;0
289;ish in a good mood tlk to me ;23/07/2015;1
290;i think i'm going to go 3 a long driv then when i get to the pac oc op my car door and throw my pc in the oc ;08/07/2015;0
291;what the hel bbc ;15/06/2015;0
292;#canucks ;03/02/2015;0
293;i dont lik thi weekend huhuhu   ;15/11/2015;0
294;i'll get on it right away ;28/06/2015;0
295; j  a mad nic twic for now  ;08/03/2015;1
296;lov lif atm it bril xd ;05/08/2015;1
297;who els is in a happy mood d ;31/05/2015;1
298;bye everyon ;09/09/2015;1
299;lon night ;25/04/2015;0
300;blu doe not work ;04/04/2015;0
301;geez i'm feel their pain ;07/03/2015;0
302;i miss my summertim daley ;30/10/2015;0
303;on the comput        il lol no fuckin goin to portug ;04/02/2015;0
304;so far so good ;15/01/2015;1
305;today was a gre day ;02/06/2015;1
306;ughhhhhhhhhhhhhhhhhhhhhhhhhhhhh ;05/03/2015;0
307;#battleground ;21/07/2015;0
308;a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot a lot ;29/09/2015;1
309;awwwwwh i want aid dav 2 win i him so bum he didnt ;14/10/2015;0
310;curtain drop at the crown uptown aft 32 ye httpwwwkansascomnewsfeaturedstory860875html ;02/01/2015;0
311;eh must leav new mexico and soon ;18/05/2015;0
312;fail math i knew it i was just too slow ;30/05/2015;0
313;from gongw oh report sound lik lead stil consid libr cut not consid tax increas #saveohiolibraries ;09/07/2015;0
314;fuck sak why can thing nev work out for me ;12/05/2015;0
316;hop to see my baby girl ;27/08/2015;0
317;i don't ev know ;07/02/2015;0
318;i just lost a memb of my famy ;30/03/2015;0
319;i'm sick of bedtim battl ;01/09/2015;0
320;i'm so cold thi morn i hav chil al ov ;25/04/2015;0
321;just ;13/04/2015;0
322;no no no tonight goe on the book as the worst sytycd result show ;20/11/2015;0
323;no shop ;17/10/2015;0
324; poor lil mousey just out enjoy the sunny day i don't think i'd feel so bad if it was a big gnar rat though dbl standard yep ;14/02/2015;0
325; that's an ep sad fac ;09/10/2015;0
326;thi magazin story just brok my heart at the dentist's off today httptinyurlcomngbq2c ;30/08/2015;0
327;tig wood is up by 2at 18 via httpnascarcomracebuddy ;26/08/2015;1
328;wann go meet wifey but can't thi sux ' ;24/11/2015;0
329;wond why i feel lik i doi'll feel bet thoughit al good i'll be happy inspit oftweet ya lat ;05/05/2015;0
330;yip yay let gath in the hayh lov found it's way boyit's gonn stay ad 2 the master's holy way al his willway ;14/05/2015;1
331;#iranelection  no on real how deep thi goe ;07/08/2015;0
332;body from air frant crash hav been found httptwurlnldvu8be via @paisano  ;23/09/2015;0
333;that is the story of my lif a whol bunch of frowny ;05/05/2015;0
334;i hav noooooooooo friend on twit it mak me sad wil someon follow me ;11/01/2015;0
335;i just want to hear from you i guess that's ask too much ;03/06/2015;0
336;hardest work chic i know mii boss lady @moneyaceweather look up to her sery lol ;07/08/2015;1
337;i really2 don't lik thi condit sucksssssss ;17/11/2015;0
338;orlando lost the sery oh wel mayb phoenix or boston or cleveland the team i lik wil mak it next year ;06/06/2015;0
339;rinit suck ;02/11/2015;0
340;thank for being the besttttttttttttttttttt jdawg ;15/11/2015;1
341;i'm mad and sad right now play so terr today in both socc and basketbal ;26/09/2015;0
